Text,Text1,Text2,Text3,Text4
유리아쥬,유리아쥬 오떼르말 더블 기획 (300ml+300ml),모든 피부 타입,"온천수
",미스트/픽서
유리아쥬,유리아쥬 오 떼르말 300ml,모든 피부 타입,온천수,미스트/픽서
아벤느,아벤느 오 떼르말 더블 기획 (150ml +150ml),모든 피부 타입,아벤느 온천수(아쿠아),미스트/픽서
아벤느,아벤느 오 떼르말 300ml 2입 기획,모든 피부 타입,아벤느 온천수(아쿠아),미스트/픽서
케어놀로지,케어놀로지 리블루 밸런싱 크림 인 미스트 120ml,모든피부용,"정제수, 부틸렌글라이콜, 아이소노닐아이소노나노에이트, 1,2-헥산다이올, 헵틸운데실레네이트, 아이소스테아릴아이소스테아레이트, 글리세린, 폴리글리세릴-3다이아이소스테아레이트, 에틸헥실글리세린, 판테놀, 센티드제라늄꽃오일, 쑥국화추출물(블루탄지꽃오일), 다이소듐이디티에이, 소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 알로에베라잎즙가루, 소듐아세틸레이티드하이알루로네이트, 리날룰, 시트로넬올, 제라니올, 리모넨, 시트랄",미스트/픽서
케어놀로지,케어놀로지 리블루 나이트 페이셜 오일 50ml,모든피부용,"호호바씨오일, 쿠쿠이나무씨오일, 줄맨드라미씨오일, 블랙윌로우나무껍질추출물, 쑥국화추출물(블루탄지꽃오일), 센티드제라늄꽃오일, 토코페롤, 비터오렌지꽃오일, 시트랄, 리날룰, 리모넨, 시트로넬올, 제라니올",페이스오일
원오브뎀,[첫구매 전용] 원오브뎀 카밍 샷 듀 드롭 미스트 150ml,모든피부,"정제수, 변성알코올, 프로판다이올, 부틸렌글라이콜, 글리세린, 1,2-헥산다이올, 소듐클로라이드, 하이드록시아세토페논, 젤란검, 사철쑥추출물, 글리세레스-25피씨에이아이소스테아레이트, 에틸헥실글리세린, 다이소듐이디티에이, 로즈마리잎오일, 애플민트잎추출물, 녹차추출물, 병풀추출물, 녹차수, 하이알루로닉애씨드, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트, 타임추출물, 말굽잔나비버섯추출물",미스트/픽서
바이오힐보,[NEW] 바이오힐보 프로바이오덤 3D 리프팅 크림 미스트 100ml,모든 피부용,"정제수, 락토바실러스발효용해물, 글리세린, 세틸에틸헥사노에이트, 트라이에틸헥사노인, 메틸프로판다이올, 펜틸렌글라이콜, 하이드로제네이티드폴리데센, 락토바실러스발효물, 프룩토올리고사카라이드, 프룩탄, 이눌린, 판테놀, 베타인, 베타-글루칸, 아데노신, 사포닌, 수용성프로테오글리칸, 노나펩타이드-1, 아세틸테트라펩타이드-9, 아세틸테트라펩타이드-5, 아세틸헥사펩타이드-1, 아세틸헥사펩타이드-8, 팔미토일트라이펩타이드-8, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 카퍼트라이펩타이드-1, 트라이펩타이드-1, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 팔미토일트라이펩타이드-5, 팔미토일펜타펩타이드-4, 팔미토일헥사펩타이드-12, 펜타펩타이드-3, 헥사펩타이드-9, 올리고펩타이드-2, 병풀추출물, 쇠비름추출물, 지치뿌리추출물, 로즈마리잎추출물, 마트리카리아꽃추출물, 석류추출물, 양까막까치밥나무열매추출물, 참마뿌리추출물, 하이드로제네이티드레시틴, 오일팜오일, 1,2-헥산다이올, 부틸렌글라이콜, 에틸헥실글리세린, 하이드록시아세토페논, 카프릴릭/카프릭트라이글리세라이드, 셀룰로오스검, 폴리쿼터늄-51, 말토덱스트린, 토코페롤, 프로판다이올, 세테아릴글루코사이드, 세테아릴알코올, 소듐폴리아크릴레이트, 알진, 소듐스테아로일글루타메이트, 바이오사카라이드검-4, 잔탄검, 하이드롤라이즈드옥수수전분, 소듐포스페이트, 카프릴릴글라이콜, 수크로오스, 덱스트란, 미네랄솔트, 다이소듐포스페이트, 향료",미스트/픽서
식물나라,식물나라 유채꿀 촉촉 멀티오일 더블기획 30mL*2,■ 모든 피부용,"정제수, 펜틸렌글라이콜, 글리세린, 메틸글루세스-20, 에탄올, 나이아신아마이드, 폴리글리세린-3, 1,2-헥산다이올, 폴리글리세릴-10라우레이트, 글라이코실트레할로오스, 카보머, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 트로메타민, 하이드로제네이티드스타치하이드롤리세이트, 에틸헥실글리세린, 아데노신, 다이소듐이디티에이, 향료, 잔탄검, 폴리쿼터늄-51, 소듐폴리아크릴레이트, 카카오씨추출물, 바이오사카라이드검-1, 베타-글루칸, 부틸렌글라이콜, 꿀추출물, 토코페롤, 아보카도오일, 해바라기씨오일, 유채씨오일, 리모넨, 알파-아이소메틸아이오논, 하이드록시시트로넬알",페이스오일
식물나라,식물나라 유채꿀 촉촉 멀티오일30mL,■ 모든 피부용,"정제수, 펜틸렌글라이콜, 글리세린, 메틸글루세스-20, 에탄올, 나이아신아마이드, 폴리글리세린-3, 1,2-헥산다이올, 폴리글리세릴-10라우레이트, 글라이코실트레할로오스, 카보머, 글리세릴아크릴레이트/아크릴릭애씨드코폴리머, 트로메타민, 하이드로제네이티드스타치하이드롤리세이트, 에틸헥실글리세린, 아데노신, 다이소듐이디티에이, 향료, 잔탄검, 폴리쿼터늄-51, 소듐폴리아크릴레이트, 카카오씨추출물, 바이오사카라이드검-1, 베타-글루칸, 부틸렌글라이콜, 꿀추출물, 토코페롤, 아보카도오일, 해바라기씨오일, 유채씨오일, 리모넨, 알파-아이소메틸아이오논, 하이드록시시트로넬알",페이스오일
자트인사이트,[리뉴얼] 자트인사이트 울트라 셋팅 진짜 픽서 110ml,모든피부용,"정제수, 에탄올, 글리세린, 폴리에스터-5, 부틸렌글라이콜, 피이지-40하이드로제네이티드캐스터오일, 다이프로필렌글라이콜, 하이드록시아세토페논, 카프릴릴글라이콜, 판테놀, 소듐시트레이트, 다이소듐이디티에이, 시트릭애씨드, 다이포타슘글리시리제이트, 병풀추출물, 약모밀추출물, 석류추출물, 황금추출물, 호장근뿌리추출물, 1,2-헥산다이올, 녹차추출물, 마트리카리아꽃추출물, 로즈마리잎추출물, 향료	",미스트/픽서
자트인사이트,[리뉴얼] 자트인사이트 울트라 셋팅 진짜 픽서 50ml,모든피부용,"정제수, 에탄올, 글리세린, 폴리에스터-5, 부틸렌글라이콜, 피이지-40하이드로제네이티드캐스터오일, 다이프로필렌글라이콜, 하이드록시아세토페논, 카프릴릴글라이콜, 판테놀, 소듐시트레이트, 다이소듐이디티에이, 시트릭애씨드, 다이포타슘글리시리제이트, 병풀추출물, 약모밀추출물, 석류추출물, 황금추출물, 호장근뿌리추출물, 1,2-헥산다이올, 녹차추출물, 마트리카리아꽃추출물, 로즈마리잎추출물, 향료	",미스트/픽서
달바,[진정보습케어] 달바 화이트 트러플 바이탈 스프레이 세럼 100ml + 100ml 기획세트,모든 피부용,"정제수, 세틸에틸헥사노에이트, 1,2-헥산다이올, 다이프로필렌글라이콜, 글리세레스-26, 폴리프로필실세스퀴옥세인, 흰서양송로추출물(10,000ppm), 부틸렌글라이콜, 하이드록시에틸우레아, 지치뿌리추출물, 마카다미아씨오일, 베타인, 아보카도오일, 로즈힙열매오일, 카프릴릭/카프릭트라이글리세라이드, 석류추출물, 다이포타슘글리시리제이트, 다이소듐이디티에이, 토코페롤, 아데노신, 사카라이드아이소머레이트, 센티드제라늄꽃오일, 펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트, 한련초추출물, 자일리틸글루코사이드, 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머, 알지닌, 안하이드로자일리톨, 개똥쑥추출물, 연꽃꽃추출물, 쌀추출물, 효모발효물, 장미꽃오일, 자일리톨, 글리세린, 인도멀구슬나무잎추출물, 라벤더꽃추출물, 캐모마일꽃추출물, 녹차추출물, 유칼립투스잎추출물, 히비스커스꽃추출물, 레몬밤추출물, 올리브나무잎추출물, 로즈마리잎추출물, 포트마리골드꽃추출물, 레몬그라스추출물, 커먼자스민추출물, 애플민트잎추출물, 살비아추출물, 티트리추출물, 페퍼민트잎추출물, 글루코오스, 시트릭애씨드, 소듐시트레이트, 드럼스틱씨오일, 세룰라타벚나무꽃추출물, 소듐하이알루로네이트, 오레가노추출물, 타임꽃/잎/줄기추출물, 하이드록시프로필트라이모늄하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐아세틸레이티드하이알루로네이트, 하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 향료, 시트로넬올, 리날룰, 제라니올, 리모넨, 헥실신남알, 시트랄",미스트/픽서
리엔케이,리엔케이 래디언스 볼륨 미스트 세럼 120ml,모든피부용,"정제수, 다이프로필렌글라이콜, 메틸프로판다이올, 1,2-헥산다이올, 나이아신아마이드, 글리세린, 쇠비름추출물, 병풀추출물, 무화과추출물, 하이드롤라이즈드콜라겐추출물, 콜라겐추출물, 하이드로제네이티드레시틴, 소듐하이알루로네이트, 옥틸도데세스-16, 소듐아크릴릭애씨드/엠에이코폴리머, 소듐시트레이트, 부틸렌글라이콜, 아데노신, 시트릭애씨드, 다이소듐이디티에이, 하이드롤라이즈드콜라겐, 세라마이드엔피, 콜라겐아미노산, 에틸헥실팔미테이트, 이눌린, 하이드롤라이즈드엘라스틴, 다이메틸실란올하이알루로네이트, 류코노스톡/무발효여과물, 하이드롤라이즈드소듐하이알루로네이트, 하이드롤라이즈드하이알루로닉애씨드, 소듐하이알루로네이트다이메틸실란올, 소듐하이알루로네이트크로스폴리머, 포타슘하이알루로네이트, 하이드록시프로필트라이모늄하이알루로네이트, 하이알루로닉애씨드, 글루코만난, 노나펩타이드-1, 다이펩타이드다이아미노부티로일벤질아마이드다이아세테이트, 소듐아세틸레이티드하이알루로네이트, 아세틸헥사펩타이드-8, 카퍼트라이펩타이드-1, 트라이펩타이드-1, 트라이하이드록시스테아린, 팔미토일테트라펩타이드-7, 팔미토일트라이펩타이드-1, 팔미토일트라이펩타이드-5, 팔미토일펜타펩타이드-4, 팔미토일헥사펩타이드-12, 펜타펩타이드-3, 헥사펩타이드-9, 향료, 에틸헥실글리세린, 카프릴릴글라이콜",미스트/픽서
차앤박,차앤박(CNP) 프로폴리스 에너지 앰플 미스트 250ml,모든피부용,"정제수, 프로판다이올, 글리세린, 1,2-헥산다이올, 다이메티콘, 소듐시트레이트, 부틸렌글라이콜, 베타인, 하이드로제네이티드레시틴, 솔비톨, 피이지-60하이드로제네이티드캐스터오일, 솔비탄세스퀴올리에이트, 시트릭애씨드, 센티드제라늄꽃오일, 펜틸렌글라이콜, 다이소듐이디티에이, 프로폴리스추출물(200ppm), 하이알루로닉애씨드, 판테놀, 하이드록시페닐프로파미도벤조익애씨드, 글루코노락톤, 락토바이오닉애씨드, 판토락톤, 아스코빌팔미테이트, 시트로넬올, 제라니올, 리날룰",미스트/픽서
아벤느,아벤느 오 떼르말 300ml*2 + 50ml 기획,모든 피부 타입,아벤느 온천수(아쿠아),미스트/픽서
달바,[선물추천/촉촉보습케어] 달바 시그니처 오리지널 & 프리미엄 비건 미스트 세럼 기프트 세트,모든 피부용,"달바 화이트 트러플 퍼스트 스프레이 세럼 100ml: 정제수, 다이프로필렌글라이콜, 네오펜틸글라이콜다이헵타노에이트, 1,2-헥산다이올, 나이아신아마이드, 솔비톨, 하이드록시에틸우레아, 아보카도오일, 멕시칸치아씨추출물, 바질꽃/잎/줄기추출물, 베타인, 귀리커넬추출물, 부틸렌글라이콜, 흰서양송로추출물(0.174%), 글리세린, 해바라기씨오일, 토코페릴아세테이트, 다이소듐이디티에이, 다이포타슘글리시리제이트, 아데노신, 소듐팔미토일프롤린, 비피다발효용해물, 알바수련꽃추출물, 소듐하이알루로네이트, 에탄올, 돌콩오일, 스피드웰추출물, 황산앵초추출물, 페퍼민트잎추출물, 레몬밤잎추출물, 당아욱추출물, 레이디스맨틀추출물, 서양톱풀추출물, 사우수레아인볼루크라타추출물, 인삼추출물, 연꽃추출물, 뽕나무껍질추출물, 마돈나백합꽃추출물, 에델바이스추출물, 약모밀추출물, 프리지어추출물, 카보머, 데이지꽃추출물, 알지닌, 포타슘솔베이트, 아나토씨오일, 소듐하이드록사이드, 토코페롤, 향료, 부틸페닐메틸프로피오날, 리날룰, 헥실신남알, 리모넨


달바 화이트 트러플 퍼스트 아로마틱 스프레이 세럼 60ml: 다마스크장미꽃수(770,000ppm), 다이프로필렌글라이콜, 네오펜틸글라이콜다이헵타노에이트, 정제수, 글리세레스-26, 1,2-헥산다이올, 나이아신아마이드, 흰서양송로추출물(2,000ppm), 토코페롤, 하이드록시에틸우레아, 부틸렌글라이콜, 아보카도오일, 베타인, 글리세린, 판테놀, 해바라기씨오일, 솔비톨, 다이포타슘글리시리제이트, 다이소듐이디티에이, 토코페릴아세테이트, 아데노신, 비피다발효용해물, 동백나무씨오일, 오크라열매추출물, 마카다미아씨오일, 달맞이꽃오일, 올리브오일, 돌콩오일, 알지닌, 데이지꽃추출물, 카보머, 프리지어추출물, 약모밀추출물, 에델바이스추출물, 마돈나백합꽃추출물, 뽕나무껍질추출물, 연꽃꽃추출물, 바질꽃/잎/줄기추출물, 인삼추출물, 사우수레아인볼루크라타추출물, 마트리카리아꽃추출물, 히비스커스꽃추출물, 라벤더꽃추출물, 레몬밤잎추출물, 페퍼민트잎추출물, 애플민트잎추출물, 베르가못잎추출물, 프로방스장미꽃추출물, 로즈마리잎추출물, 살비아잎추출물, 꽃송이버섯추출물, 소듐팔미토일프롤린, 포타슘솔베이트, 귀리커넬추출물, 비타민나무열매오일, 하이드롤라이즈드하이알루로닉애씨드, 멕시칸치아씨추출물, 병풀추출물, 버지니아풍년화추출물, 쇠비름추출물, 황금추출물, 아나토씨오일, 알바수련꽃추출물, 향료, 헥실신남알, 리모넨, 리날룰, 시트로넬올",미스트/픽서
눅스,[미니어처 증정] 눅스 윌 프로디쥬스 멀티 리치 오일 100ml 기획,모든피부,"코코-카프릴레이트/카프레이트,퀸즈랜드넛오일,데실올리에이트,올레익/리놀레익/리놀레닉폴리글리세라이즈,스위트아몬드오일,유럽개암씨오일,유차나무씨오일,동백나무씨오일,아르간커넬오일,보리지씨오일,토코페롤,해바라기씨오일,토코페릴아세테이트,로즈마리잎추출물,폴리글리세릴-3다이아이소스테아레이트,토마토추출물,정제수,아스코빅애씨드,향료,리날룰,리모넨,시트로넬올,제라니올			",페이스오일
엠도씨,엠도씨 울트라 수분 미스트 80ml,모든 피부용,"정제수(빙하수),글리세린,나이아신아마이드,펜틸렌글라이콜,병풀추출물,무화과추출물,당느릅나무뿌리추출물,줄맨드라미씨추출물,하이드로제네이티드레시틴,부틸렌글라이콜,소듐시트레이트,아데노신,시트릭애씨드,다이소듐이디티에이,세라마이드엔피,피이지-60하이드로제네이티드캐스터오일,향료,페녹시에탄올,에틸헥실글리세린,1,2-헥산다이올",미스트/픽서
달팡,달팡 로즈 아로마틱 케어 15ml,모든 피부용,"참깨오일, 해바라기씨오일, 마카다미아씨오일, 메도우폼씨오일, 스위트아몬드오일, 호호바알코올, 아이소프로필호호베이트, 호호바에스터, 달맞이꽃오일, 스위트브라이어씨오일, 다마스크장미꽃오일, 다마스크장미꽃왁스, 카프릴릭/카프릭트라이글리세라이드, 프로방스장미꽃왁스, 당근추출물, 로즈마리잎추출물, 비터오렌지꽃오일, 광곽향오일, 갈바눔수지오일, 시트로넬라오일, 통가콩씨추출물, 빌베리씨오일, 옥수수오일, 하이드로제네이티드식물성오일, 일랑일랑꽃오일, 센티드제라늄꽃오일, 다마스크장미추출물, 퉁퉁마디추출물, 토코페롤, 프렌치라벤더추출물, 머스크씨드추출물, 쿠마린, 제라니올, 시트랄, 시트로넬올, 벤질벤조에이트, 리날룰, 파네솔
",페이스오일
트릴로지,트릴로지 로즈힙오일 라이트 블렌드 30ml,"속은 촉촉하고, 겉은 산뜻하게 가꿔주는 유기농 블렌딩 오일","로즈힙씨오일, 호호바씨오일, 포도씨오일, 코코-카프릴레이트, 토마토씨오일, 크랜베리씨오일",페이스오일
쌍빠,쌍빠 어딕트 글로우 매직에센스 100ml,모든 피부 타입,"비타민나무수, 다이프로필렌글라이콜, 글리세린, 부틸렌글라이콜, 1,2-헥산다이올, 나이아신아마이드, 카프릴릭/카프릭트라이글리세라이드, 아이소헥사데칸, 메틸프로판다이올, 사이클로펜타실록세인, 펜틸렌글라이콜, 참마뿌리추출물, 비타민나무열매추출물, 진주추출물, 로얄젤리추출물, 프로폴리스추출물, 다마스크장미꽃추출물, 당아욱잎추출물, 레몬밤잎추출물, 레몬버베나잎추출물, 로즈마리잎추출물, 마시멜로잎추출물, 마조람잎추출물, 바오밥나무씨추출물, 보리지추출물, 살비아잎추출물, 센티드제라늄추출물, 오레가노잎추출물, 월계수잎추출물, 유칼립투스잎추출물, 인카르나타시계꽃전초추출물, 자주천인국추출물, 캐모마일꽃추출물, 콘민트잎추출물, 포트마리골드꽃추출물, 회향잎추출물, 서양산딸기잎추출물, 녹차수, 오일팜오일, 비타민나무오일, 호호바씨오일, 소듐클로라이드, 해바라기씨오일불검화물, 카프릴릴/카프릴글루코사이드, 폴리쿼터늄-51, 글라이코실트레할로오스, 아데노신, 하이드로제네이티드스타치하이드롤리세이트, 다이소듐이디티에이, 라피노오스, 바이오사카라이드검-1, 레시틴, 말토덱스트린, 향료, 에틸헥실글리세린, 시트로넬올, 제라니올, 리날룰",미스트/픽서
트릴로지,트릴로지 써티파이드 오가닉 100% 로즈힙 오일,■ 보통 피부용,■ 로즈힙씨오일(100%),페이스오일
올리세,올리세 퓨어워터미스트400ml,■  모든 피부용,"■   aqua,  nitrogen",미스트/픽서
에비앙,에비앙 브뤼미자뙤르 페이셜 스프레이 300ml,모든타입,천연빙하수,미스트/픽서
라로슈포제,라로슈포제 오떼르말 온천수 미스트 300ml,민감성 및 모든 피부에 사용 적합,정제수,미스트/픽서
유리아쥬,유리아쥬 오떼르말 50ml(N),모든피부타입,온천수,미스트/픽서
에비앙,에비앙 브뤼미자뙤르 페이셜미스트 50ml,모든타입,천연빙하수,미스트/픽서
